transcript_id,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBtr0360389,2513,3237,2814,2882,2859,2665,3767,2753,3903,2923,2869
FBtr0360388,3336,3672,2522,2791,3088,2354,3238,2963,3835,2789,2386
FBtr0360381,0,0,0,0,0,0,0,0,0,0,0
FBtr0360380,399,557,486,601,658,944,455,624,463,579,398
FBtr0360383,7609,8682,7460,7111,7802,8221,10394,8285,10592,7566,7990
FBtr0360382,0,243,24,209,0,0,0,393,0,237,0
FBtr0360385,637,1285,828,146,614,691,742,974,671,630,668
FBtr0360384,188,163,157,178,318,60,356,0,5,7,0
FBtr0360387,1797,3202,2172,2117,2001,2415,2459,2078,2551,2488,1492
FBtr0360386,430,411,355,214,480,469,569,219,416,397,208
FBtr0359671,1508,2275,2331,2026,2824,2233,3318,2809,3143,2729,2197
FBtr0359670,7138,7938,7747,8354,8505,8250,9843,7707,10144,7747,7853
FBtr0359673,597,529,591,406,348,692,847,857,671,398,341
FBtr0359672,808,892,744,739,887,681,540,825,839,754,554
FBtr0359675,1378,710,1137,1132,802,1008,1225,1452,1025,969,728
FBtr0359674,6,0,0,0,0,0,6,0,0,3,20
FBtr0359677,0,0,0,0,0,0,7,4,0,0,3
FBtr0359676,14426,13654,13651,14305,18595,13912,17286,15013,17717,16224,13899
FBtr0358001,3722,3822,3476,3570,4009,3277,4704,3586,4713,3327,3455
FBtr0358000,5,0,0,0,439,830,0,245,323,312,609
FBtr0358003,0,10,0,4,0,12,0,14,1,0,19
FBtr0358002,77,71,36,87,31,83,170,183,189,30,34
FBtr0358005,9476,5253,4432,3633,9889,9418,6647,14626,14036,7604,4443
FBtr0358004,54525,55067,52494,54548,60062,51147,70089,55850,61998,49510,41811
FBtr0358007,0,0,0,0,0,0,6,0,3,5,0
FBtr0358006,0,0,2079,0,0,0,1328,2217,2177,0,0
FBtr0358009,0,0,0,0,0,0,0,0,0,0,0
FBtr0358008,4216,5229,4494,1314,3706,2087,6242,4791,6562,2133,2059
FBtr0225109,186,191,182,111,120,88,308,226,351,138,103
FBtr0225108,100,115,128,130,0,151,154,122,134,128,123
FBtr0225106,922,1034,783,1065,1160,1063,1205,870,1245,1161,1025
FBtr0225105,3375,3574,3568,3203,3256,3007,4462,3705,4575,3417,2783
FBtr0225104,15,4,11,0,0,4,9,8,0,5,0
FBtr0225103,84,103,34,36,31,43,54,17,28,39,35
FBtr0225101,55,57,18,14,12,0,73,20,0,37,5
FBtr0220557,2804,2993,2438,2727,2828,2476,3527,3131,3636,2582,2673
FBtr0220556,6077,5883,5680,6401,6647,5008,8694,6249,8058,5361,5543
FBtr0220554,4845,4692,4045,3825,4258,3620,4919,4036,5240,3496,3961
FBtr0220552,0,0,8,11,0,0,16,8,0,0,0
FBtr0220551,97,106,73,112,65,73,164,133,181,57,102
